MODEL,SCENARIO,REGION,VARIABLE,UNIT,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
IEA,Historic data,AGO,Final Energy,EJ/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1213773009999997,0.1336069049999996,0.1309134989999998,0.1304307989999998,0.1283962089999996,0.1264760029999999,0.1224767949999997,0.1356624939999999,0.1334547939999998,0.1344608019999997,0.1353121959999996,0.1367262999999999,0.1380060929999997,0.1511389979999998,0.1607086879999994,0.1618327959999995,0.1654955779999996,0.1724738879999995,0.1764850939999996,0.1901028929999996,0.1955647969999995,0.1976826939999995,0.2059108019999999,0.2073776059999996,0.2055126099999994,0.2115770999999995,0.2141741959999997,0.2126744089999998,0.2227751939999995,0.2270980109999999,0.2349517009999996,0.2464349949999997,0.2682315999999999,0.2826776979999997,0.2606429039999997,0.2953442999999993,0.3183926099999998,0.3486494049999992,0.3749338939999996,0.3835289999999994,0.4016311879999996,0.4451067049999994,0.4704244069999996,0.4724147969999996,0.4826539029999995,0.4866628979999996,0.4618791339999999,0.4825958169999993,0.5074596359999994,0.4376956509999995,0.5005422649999997,0.5239502199999997,0.5549984229999996,0.0
IEA,Historic data,AGO,Final Energy|AFOFI,EJ/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002279194,0.0018647919999998,0.002099798,0.001765792,0.001672996,0.001008198,0.0007669959999998,0.000513402,0.0003463999999998,0.0002598,0.0002598,0.0001731999999999,0.0001731999999999,8.66e-05,8.66e-05,0.0001731999999999,8.66e-05,8.66e-05,0.0001731999999999,0.0001731999999999,0.0001731999999999,0.0001731999999999,0.0003463999999998,0.000432998,0.0005195979999998,0.000606198,0.000692798,0.0007793979999998,0.0007793979999998,0.001039198,0.001039198,0.000865998,0.0007793979999998,0.000541856,0.0004639139999998,0.000556576,0.00021243,0.000356448,0.000418278,0.00044833,0.0
IEA,Historic data,AGO,Final Energy|AFOFI|Electricity,EJ/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IEA,Historic data,AGO,Final Energy|AFOFI|Gases,EJ/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IEA,Historic data,AGO,Final Energy|AFOFI|Gases|Biomass,EJ/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IEA,Historic data,AGO,Final Energy|AFOFI|Gases|Electricity,EJ/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IEA,Historic data,AGO,Final Energy|AFOFI|Gases|Natural Gas,EJ/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IEA,Historic data,AGO,Final Energy|AFOFI|Heat,EJ/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IEA,Historic data,AGO,Final Energy|AFOFI|Hydrogen,EJ/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IEA,Historic data,AGO,Final Energy|AFOFI|Liquids,EJ/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002279194,0.0018647919999998,0.002099798,0.001765792,0.001672996,0.001008198,0.0007669959999998,0.000513402,0.0003463999999998,0.0002598,0.0002598,0.0001731999999999,0.0001731999999999,8.66e-05,8.66e-05,0.0001731999999999,8.66e-05,8.66e-05,0.0001731999999999,0.0001731999999999,0.0001731999999999,0.0001731999999999,0.0003463999999998,0.000432998,0.0005195979999998,0.000606198,0.000692798,0.0007793979999998,0.0007793979999998,0.001039198,0.001039198,0.000865998,0.0007793979999998,0.000541856,0.0004639139999998,0.000556576,0.00021243,0.000356448,0.000418278,0.00044833,0.0
IEA,Historic data,AGO,Final Energy|AFOFI|Liquids|Biomass,EJ/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IEA,Historic data,AGO,Final Energy|AFOFI|Liquids|Electricity,EJ/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IEA,Historic data,AGO,Final Energy|AFOFI|Liquids|Oil,EJ/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001139597,0.0009323959999999,0.001049899,0.000882896,0.000836498,0.000504099,0.0003834979999999,0.000256701,0.0001731999999999,0.0001299,0.0001299,8.659999999999999e-05,8.659999999999999e-05,4.33e-05,4.33e-05,8.659999999999999e-05,4.33e-05,4.33e-05,8.659999999999999e-05,8.659999999999999e-05,8.659999999999999e-05,8.659999999999999e-05,0.0001731999999999,0.000216499,0.0002597989999999,0.000303099,0.000346399,0.0003896989999999,0.0003896989999999,0.000519599,0.000519599,0.000432999,0.0003896989999999,0.000270928,0.0002319569999999,0.000278288,0.000106215,0.000178224,0.000209139,0.000224165,0.0
IEA,Historic data,AGO,Final Energy|AFOFI|Solids,EJ/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IEA,Historic data,AGO,Final Energy|AFOFI|Solids|Biomass,EJ/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IEA,Historic data,AGO,Final Energy|AFOFI|Solids|Coal,EJ/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IEA,Historic data,AGO,Final Energy|Electricity,EJ/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001864801,0.002109599,0.002480398,0.003099601,0.003290402,0.001476002,0.001476002,0.001476002,0.001584,0.0016991999999999,0.0016991999999999,0.0018144,0.001969199,0.0016848019999999,0.002026801,0.002026801,0.002037598,0.002052001,0.0020627989999999,0.0021204009999999,0.0022535999999999,0.0022931979999999,0.0023004,0.002311202,0.0023219989999999,0.0024839989999999,0.003481199,0.003801602,0.0038519979999999,0.0041652,0.004726801,0.0050867989999999,0.005864401,0.0055259979999999,0.0065916019999999,0.0087984009999999,0.009529199,0.0123552009999999,0.0150372019999999,0.0168696009999999,0.017542801,0.0239436019999999,0.0252827999999999,0.029502001,0.0301716009999999,0.033876002,0.03335153,0.040612069,0.0466011609999999,0.0514115049999999,0.0477080209999999,0.0465237629999999,0.0487617379999999,0.0
IEA,Historic data,AGO,Final Energy|Gases,EJ/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015102,0.0020007,0.002282401,0.002388599,0.002282401,0.001988998,0.002482199,0.002482199,0.002482199,0.0027009,0.0031491019999999,0.0031491019999999,0.003597299,0.0040491,0.0040491,0.004497301,0.0053982,0.0054881999999999,0.0058499979999999,0.018468,0.019835999,0.0194939999999999,0.0191520019999999,0.0191520019999999,0.0191520019999999,0.0191520019999999,0.0194939999999999,0.019835999,0.0191520019999999,0.0194939999999999,0.018126001,0.020520001,0.022229999,0.025649999,0.022229999,0.023255999,0.028386002,0.023255999,0.023597998,0.0253079999999999,0.025649999,0.025992002,0.012475802,0.0089811,0.026334001,0.0246537,0.013650052,0.0231368679999999,0.014799228,0.010227561,0.012921306,0.014011926,0.0155836919999999,0.0
